2020-10-09 23:10:01,not_potus_45,"New York, NY",5,39,Does #acb stand for “Amy #COVID #Barrett “? #AskingForAFriend #Trump #BidenHarris2020 #BidenHarris #Biden #Harris… https://t.co/Csewr3Afu5,"[[[-95.809606, 38.971524], [-95.571859, 38.971524], [-95.571859, 39.103634], [-95.809606, 39.103634]]]","Topeka, KS",United States,US,city
2020-10-09 23:09:26,dnvigerjr,"Henderson, NV",812,1806,@natemax @JoeBiden If you believed in science then you would know Joe Biden is sadly suffering from early stage dementia!,"[[[-115.1581427, 35.917793], [-114.918531, 35.917793], [-114.918531, 36.094719], [-115.1581427, 36.094719]]]","Henderson, NV",United States,US,city
2020-10-09 23:09:20,baumer72,"Brampton, Ontario",513,1453,@Marvin_GoHard @JoeBiden No that's not what he's going to do. He's going to wave his magic wand and consult witches… https://t.co/XiD4Wg4OyZ,"[[[-82.500115, 41.676525], [-81.416287, 41.676525], [-81.416287, 42.651457], [-82.500115, 42.651457]]]","Chatham-Kent, Ontario",Canada,CA,city
2020-10-09 23:08:05,djhutch74,,4807,4967,@JoeBiden Why did joe biden tell American people lies about going into Iraq but not the truth.,"[[[-82.174795, 26.953081], [-82.057555, 26.953081], [-82.057555, 27.032115], [-82.174795, 27.032115]]]","Port Charlotte, FL",United States,US,city
2020-10-09 22:55:30,RobertReadSR2,,15,53,@TheDemocrats @JoeBiden @KamalaHarris Joe Biden is too old to be the president ! he can’t even make a comment on st… https://t.co/BP0s5mkky4,"[[[-74.048401, 41.517325], [-73.959164, 41.517325], [-73.959164, 41.589361], [-74.048401, 41.589361]]]","Balmville, NY",United States,US,city
2020-10-09 22:55:13,BushmanOnAir,"Detroit, MI",31808,4571,"Thanks for making time today @AshleyEtienne09 https://t.co/BvEbTnNQdc 

Great insight on @JoeBiden","[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]","Michigan, USA",United States,US,admin
2020-10-09 22:55:07,StockWrecker,NW Pennsylvania - Western NY,1086,1172,I have seen a couple of polls today that represent the fact that the majority of Europeans and Canadians want Joe B… https://t.co/5EnLPVYyhB,"[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]]","Pennsylvania, USA",United States,US,admin
2020-10-09 22:50:23,ntTV_News,University of North Texas,1111,497,#NOW: The Commission on Presidential Debates has canceled the October 15th debate between Donald Trump and Joe Biden. #ntTV,"[[[-97.187543, 33.1289384], [-97.041998, 33.1289384], [-97.041998, 33.276053], [-97.187543, 33.276053]]]","Denton, TX",United States,US,city
2020-10-09 22:47:03,EricPearson9,"Atlanta, USA",50,48,@RWTrollPatrol @bobhasdogsagain @LindseyGrahamSC @JoeBiden Will Lindsey secretly vote for Joe Biden?,"[[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]]","Atlanta, GA",United States,US,city
2020-10-09 22:41:45,NHadgisava,"Hawthorn Woods, IL",956,1555,@SenatorDole @realDonaldTrump If you are trying to say that Vice President Joe Biden and Donald trump should get in… https://t.co/8xh4ILGn1E,"[[[-88.115777, 42.204516], [-88.018811, 42.204516], [-88.018811, 42.266309], [-88.115777, 42.266309]]]","Hawthorn Woods, IL",United States,US,city
2020-10-09 22:39:47,medic6423,"California, USA ",6037,6214,Oh dear God Trump may be right @JoeBiden is NOT running as high as Hilary Clinton was in 2016 in swing states like… https://t.co/VduF0exci7,"[[[-121.4459635, 38.4743139], [-121.364939, 38.4743139], [-121.364939, 38.5051706], [-121.4459635, 38.5051706]]]","Florin, CA",United States,US,city
2020-10-09 22:28:16,awarnergarrett,"Albuquerque, NM",226,528,Donald Trump has failed as President of the United States of America. Joe Biden is who our next president should be… https://t.co/U3G457oTVI,"[[[-106.64908000000003, 35.041098], [-106.64908000000003, 35.041098], [-106.64908000000003, 35.041098], [-106.64908000000003, 35.041098]]]",Bernalillo County,United States,US,poi
2020-10-09 22:13:18,overdroid,"Hollywood, CA",421,354,Biden should have a debate anyway. Just set everything up but where trump would be just put a screen with his Twitt… https://t.co/iDwLfxs6GV,"[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2020-10-09 22:06:43,susanha77835097,"Florida, USA",2,34,@JoeBiden Pelosi is doing it purposely so she can bet get to be vice president Feinstein and Pelosi Biden show my K… https://t.co/PW7ZKupKXs,"[[[-80.131529, 25.900463], [-80.118613, 25.900463], [-80.118613, 25.957656], [-80.131529, 25.957656]]]","Sunny Isles Beach, FL",United States,US,city
2020-10-09 22:05:25,LindaHorning4,"San Diego, CA",14,39,"@SchipperKeith @GOP @JoeBiden Am I missing something? These ppl are all carrying Trump signs, where are the Biden supporters?","[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]","San Diego, CA",United States,US,city
2020-10-09 21:59:43,vegasdude83,,1265,1799,It's really simple when it comes to the issues that are most important to the American people the kitchen table one… https://t.co/soMn7oUZMl,"[[[-115.384091, 36.129459], [-115.062159, 36.129459], [-115.062159, 36.336371], [-115.384091, 36.336371]]]","Las Vegas, NV",United States,US,city
2020-10-09 21:57:56,hypnocoach183,"Lynn, MA",2590,4996,"New ad: ""Vote Joe"" from @UFP_PAC. Funded by @mikebloomberg and featuring Lin-Manuel Miranda, the message is targete… https://t.co/To1t0QCzSA","[[[-71.01153, 42.444954], [-70.92218, 42.444954], [-70.92218, 42.51252], [-71.01153, 42.51252]]]","Lynn, MA",United States,US,city
2020-10-09 21:47:13,toddymead,,816,2051,@Tony19542 @gatewaypundit @JoeBiden BIDEN was part of CONSPIRACY to overthrow TRUMP ADM. How on EARTH is this SEDIT… https://t.co/ZtB08trgUc,"[[[-82.619962, 30.170476], [-82.568863, 30.170476], [-82.568863, 30.196747], [-82.619962, 30.196747]]]","Watertown, FL",United States,US,city
2020-10-09 21:46:18,djhutch74,,4807,4967,@ToxicHairball @JoeBiden What else is he running on? A mask mandate?  No Medicare for all?  Watching amy coney Barr… https://t.co/uMGfCZeOJq,"[[[-82.174795, 26.953081], [-82.057555, 26.953081], [-82.057555, 27.032115], [-82.174795, 27.032115]]]","Port Charlotte, FL",United States,US,city
